Geometries_ID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category 
35043940300,Los Alamos County,,N/A,N/A,N/A,N/A,N/A,N/A
35049980000,Santa Fe County,State Pen,N/A,N/A,N/A,959,N/A,N/A
35045942802,San Juan,,0.26,4,652,6142,0.1062,1
35035000902,Otero,N/A,0.47,6,1051,10442,0.1007,1
35045000607,San Juan,,0.16,3,300,3636,0.0825,2
35031940300,Mckinley,SW,0.3,5,528,6470,0.0816,2
35031943500,Mckinley,,0.3,4,268,3469,0.0773,2
35031943600,McKinley,NW,0.45,6,395,5879,0.0672,2
35006974700,Cibola,,0.19,3,383,6460,0.0593,2
35031945600,Mckinley,Gallup,0.3,5,300,5248,0.0572,2
35039941000,Rio Arriba,,0.29,4,197,3505,0.0562,2
35031945200,Mckinley,Gallup,0.35,5,358,6533,0.0548,2
35031946000,Mckinley,Other,0.5,6,312,5708,0.0547,2
35045000402,San Juan,,0.22,4,180,3611,0.0498,2
35031945700,Mckinley,SW,0.42,6,103,2188,0.0471,2
35045000504,San Juan,,0.17,3,95,2037,0.0466,2
35031943902,Mckinley,SW,0.42,6,197,4232,0.0466,2
35043010900,Sandoval,Other West,0.3,5,112,2575,0.0435,3
35043940700,Sandoval,,0.24,4,171,4095,0.0418,3
35001003736,Bernalillo,,0.23,4,83,2015,0.0412,3
35031945300,Mckinley,Gallup,0.49,6,128,3164,0.0405,3
35043011200,Sandoval,,0.19,3,119,2977,0.04,3
35045000505,San Juan,,0.16,3,289,7529,0.0384,3
35031943800,Mckinley,NW,0.42,6,225,6153,0.0366,3
35006945800,Cibola,N/A,0.43,6,76,2097,0.0362,3
35045943000,San Juan,,0.29,4,170,4796,0.0354,3
35031945500,Mckinley,,0.15,3,186,5684,0.0327,3
35045000503,San Juan,,0.14,3,102,3197,0.0319,3
35031945400,Mckinley,,0.3,4,102,3245,0.0314,3
35023970200,Hidalgo,"Hidalgo County/Grant County, Other",0.34,5,73,2406,0.0303,3
35013000201,Dona Ana,,0.26,4,179,5914,0.0303,3
35013001701,Dona Ana,,0.29,4,176,6137,0.0287,3
35045942900,San Juan,West,0.41,6,142,4971,0.0286,3
35013001705,Dona Ana,Sunland Park,0.38,5,90,3348,0.0269,3
35013001707,Dona Ana,Sunland Park,0.37,5,155,6092,0.0254,3
35001004736,Bernalillo,Chavez OneEighteenth,0.34,5,28,1160,0.0241,3
35029000600,Luna,N/A,0.35,5,66,2736,0.0241,3
